id,sentence_id,sentence,label
1.0,library#01,All material that is stored in the repository will enter it via the Ingest function.,NOCUOUS
2.0,library#02-1,The Library may want to accept important digital materials in non-standard formats in case we are able to migrate them to a more usable format in the future.,NOCUOUS
3.0,library#02-2,The Library may want to accept important digital materials in non-standard formats in case we are able to migrate them to a more usable format in the future.,INNOCUOUS
4.0,library#03,"Once material has arrived, it must undergo several reviews, including virus checking, format compliance and anticipated content and file type.",INNOCUOUS
5.0,library#04,Allows resources to be reviewed before a decision is made whether they should be retained.,INNOCUOUS
6.0,library#05,Allows metadata to be stored in a database in a manner that conforms to repository reformatting and linked to their corresponding objects via an identifier.,INNOCUOUS
7.0,library#06,The Coordinate Updates function also incorporates the storage identification information into the Descriptive Information for the AIP and transfers it to the Data Management entity along with a database update request.,NOCUOUS
8.0,library#07,"Archival Storage functions include receiving AIPs from Ingest and adding them to permanent storage, managing the storage hierarchy, refreshing the media on which archive holdings are stored, performing routine and special error checking, providing disaster recovery capabilities, and providing AIPs to Access to fulfill orders.",INNOCUOUS
9.0,library#08,"It will also conform to any special levels of service required for the AIP, or any special security measures that are required, and ensures the appropriate level of protection for the AIP.",NOCUOUS
10.0,library#09,It monitors error logs to ensure AIPs are not corrupted during transfers.,NOCUOUS
11.0,library#10,"However, the data constituting the Packaging Information may be changed as long as it continues to perform the same function and there is a straightforward implementation that does not cause information loss.",NOCUOUS
12.0,library#11,"The migration strategy must select a storage medium, taking into consideration the expected and actual rates of errors encountered in various media types, their performance, and their costs of ownership.",INNOCUOUS
13.0,library#12,This function receives an AIP request that identifies the requested AIP(s) and provides them on the requested media type or transfers them to a staging area.,INNOCUOUS
14.0,library#13,"The Generate Report function receives a report request from Ingest, Access or Administration and executes any queries or other processes necessary to generate the report that it supplies to the requester.",NOCUOUS
15.0,library#14,It may also receive a report request from Access and provides descriptive information for a specific AIP.,NOCUOUS
16.0,library#15,"Administration functions include soliciting and negotiating submission agreements with producers, auditing submissions to ensure that they meet archive standards, and maintaining configuration management of system hardware and software.",NOCUOUS
17.0,library#16,Audits data in SIPs or AIPs to ensure that they meet specified requirements.,NOCUOUS
18.0,library#17,The Activate Requests function maintains a record of event-driven requests and periodically compares it to the contents of the archive to determine if all needed data is available.,NOCUOUS
19.0,library#18,Maintains a record of event-driven events and compares it to the contents of the repository.,INNOCUOUS
20.0,library#19,The Monitor Designated Community function interacts with archive Consumers and Producers to track changes in their service requirements and available product technologies.,INNOCUOUS
21.0,library#20,Interacts with repository users and content providers to track changes in their service requirements and available product technologies.,NOCUOUS
22.0,library#21,"This function receives reports from the Monitor Designated Communities and Monitor Technology functions, and it receives performance information, inventory reports and summarized consumer comments from Administration.",INNOCUOUS
23.0,library#22,This function also receives external data standards from Monitor Technology and produces profiles of those standards that are sent to Administration as proposals on their potential usage.,NOCUOUS
24.0,library#23,Produces profiles of those standards that are sent to Administration as proposals on their potential usage.,NOCUOUS
25.0,library#24,The NLM will test preservation actions in order to determine their effectiveness across a range of digital objects.,NOCUOUS
26.0,library#25,"The NLM System Administration/Programming Access, ultimate rights to the system, required for its management, development, and for assigning appropriate rights to users.",NOCUOUS
27.0,weather#01,The Clarus system shall process data as they are received.,INNOCUOUS
28.0,weather#02,The Clarus system shall be able to base its quality control process on values from multiple observations.,INNOCUOUS
29.0,weather#03,The Clarus system shall be able to communicate with RWIS databases through their native interfaces.,INNOCUOUS
30.0,weather#04,The Clarus system shall be able to collect data from sources within 5 minutes of them becoming available.,NOCUOUS
31.0,weather#05,The CAS shall be configurable to allow new observation types to be implemented as they become available.,INNOCUOUS
32.0,weather#06,The CS shall collect environmental data based on its configured schedule.,NOCUOUS
33.0,weather#07,The CS shall be able to dynamically adjust its retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,INNOCUOUS
34.0,weather#08,The CS shall process environmental data as they are received.,INNOCUOUS
35.0,weather#09,The Clarus system shall be able to communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,NOCUOUS
36.0,weather#10,The CS shall be able to accept data from an RWIS database in its native output format.,NOCUOUS
37.0,weather#11,The Clarus system shall be able to communicate with an individual ESS through its native interface.,NOCUOUS
38.0,weather#12,The DOG shall be able to monitor new environmental data services as they are added.,INNOCUOUS
39.0,weather#13,The DOG shall be able to record its activities.,INNOCUOUS
40.0,weather#14,The QEDC shall maintain observations and their associated quality flags for seven days.,INNOCUOUS
41.0,weather#15,The QEDC shall support queries for its observations.,INNOCUOUS
42.0,weather#16,The QEDS shall log their activities.,NOCUOUS
43.0,weather#17,The QChS shall be able to base its quality checking process on values distributed in time.,INNOCUOUS
44.0,weather#18,The contributors shall define the units of measurements of their shared data and information.,INNOCUOUS
45.0,weather#19,The Clarus program shall determine how it will provide data and information to contributors.,INNOCUOUS
46.0,weather#20,"""The Clarus program shall inform contributors of the acceptance and use"" of their data and information.""",INNOCUOUS
47.0,railway#01,The logon screen shall activate command control for the user if the user requests it and has authorization.,INNOCUOUS
48.0,railway#02,"When a device status has been overridden, on the screen it shall appear with different color from the normal and alarm status colors.",INNOCUOUS
49.0,railway#03,It shall display and allow modification of all database tables with the exception of log tables.,NOCUOUS
50.0,railway#04,"The user should not be able to update log entries other than for their own login, for the current day and current shift.",NOCUOUS
51.0,railway#05,Any change in device state shall be reported on the screen not later than 2 seconds from the time it occurs.,INNOCUOUS
52.0,railway#06-1,"When each workstation and control unit (workstation or intelligent controller at the FCU or DCU) comes online, the system shall identify it and all its associated device sensors.",NOCUOUS
53.0,railway#06-2,"When each workstation and control unit (workstation or intelligent controller at the FCU or DCU) comes online, the system shall identify it and all its associated device sensors.",NOCUOUS
54.0,railway#07,The RLCS software shall initialize each control unit and device sensor as it is identified.,NOCUOUS
55.0,railway#08,The devices can be manually controlled/operated from their cabinets (e.g.: Gates).,INNOCUOUS
56.0,railway#09,"The normal operating mode is Monday through Friday, between 5:00am and 8:00pm, but the system must be functional in order to stay in its closed state after hours.",INNOCUOUS
57.0,railway#10,The ETCS shall provide the driver with information to allow him to drive the train safely.,INNOCUOUS
58.0,railway#11-1,If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.,NOCUOUS
59.0,railway#11-2,If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.,NOCUOUS
60.0,railway#12,It shall be possible to implement one or more of the ETCS application levels on a line.,INNOCUOUS
61.0,railway#13,The ETCS shall be compatible with existing national systems listed in the CCS TSI such that it does not interfere with the national systems and is not interfered with by the national systems.,INNOCUOUS
62.0,railway#14,"If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped.",INNOCUOUS
63.0,railway#15,"On request of the RBC, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear .",INNOCUOUS
64.0,railway#16,The braking curves shall ensure that the train complies with its speed requirements.,INNOCUOUS
65.0,railway#17,If the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point .,NOCUOUS
66.0,railway#18,A train shall be supervised to its static and dynamic train speed profiles.,INNOCUOUS
67.0,railway#19,"Within the braking curve area, a warning shall be given to the driver to enable him to react and avoid intervention from ETCS equipment at least 5 sec. before the intervention.",INNOCUOUS
68.0,railway#20,The ETCS trainborne equipment shall transmit its own train identification to the RBC.,INNOCUOUS
69.0,railway#21,If a train cannot stop at the proposed new target location it shall reject the request and keep the old target location.,NOCUOUS
70.0,railway#22,The train may proceed unrestricted to the end of its movement authority.,INNOCUOUS
71.0,railway#23,It is acceptable that only one mobile user involved in the group call may talk at any time.,INNOCUOUS
72.0,railway#24,"If the text message facility is implemented, it shall not interfere with the ability of users to make or receive high priority voice or data calls.",INNOCUOUS
73.0,railway#25,"Where fax functionality is provided, it shall be possible to interrupt the fax to make or receive a high priority voice or data call.",NOCUOUS
74.0,railway#26,"The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them.",NOCUOUS
75.0,railway#27,"Where network services are chargeable, it should be possible for the network to provide information about call rates and on-going call charges.",INNOCUOUS
76.0,railway#28,Picking up the handset shall transfer the communication to the handset and reduce the loudspeaker volume to its minimum level.,NOCUOUS
77.0,railway#29,An indication shall be provided to the driver as a reminder of the need to use the Push-To-Talk button on the handset if he wants to talk.,INNOCUOUS
78.0,railway#30,It shall be possible for a driver to initiate Railway emergency calls (see section 13).,INNOCUOUS
79.0,railway#31,"If the train moves out of the call area whilst the call is in progress, it will leave the call and an audible and visual indication of the loss of call shall be provided to the driver.",NOCUOUS
80.0,railway#32,"Once the driver has accepted the standard point-to-point call, it shall be connected appropriately, eg if the driver has accepted the call by lifting the handset, then the call shall be routed to the handset.",INNOCUOUS
81.0,railway#33,"In this case, the security device alerts the driver if the link has failed or if it is cancelled.",NOCUOUS
82.0,railway#34-1,"It should be possible for the Cab radio to be used without the network service (if it should fail or if there is no authorised network coverage), such that local open channel communications are still possible.",NOCUOUS
83.0,railway#34-2,"It should be possible for the Cab radio to be used without the network service (if it should fail or if there is no authorised network coverage), such that local open channel communications are still possible.",NOCUOUS
84.0,railway#35,"Where the Cab radio is required by a national railway to support a handheld portable, the Cab radio shall: - provide a clear indication as to whether the handheld portable is activated or not; - provide an interface to allow the handheld portable to be recharged when not in use; - forward calls automatically to the handheld portable when the handheld portable is activated; - cancel any call forwarding to the handheld portable when it is deactivated; - allow the driver to override the call forwarding to the handheld portable.",INNOCUOUS
85.0,railway#36,"When the MMI is switched on, the configuration shall be determined by the time elapsed since the MMI was last switched off: - less than t minutes – the MMI shall power up with the same configuration as when it was last powered down; - greater than t minutes – the MMI shall power up with default settings.",INNOCUOUS
86.0,railway#37,"If directed network selection is implemented, input from the external device(s) shall initiate the network change regardless of the identity of the current network and how it was selected.",NOCUOUS
87.0,railway#38,"Non leading drivers shall be able to indicate to the system their location in the train during the registration procedure (2nd driver, 3rd driver etc).",INNOCUOUS
88.0,railway#39,Each type of equipment has slightly different requirements placed upon it in terms of EMC and climate.,INNOCUOUS
89.0,railway#40,The design of the equipment shall make it possible to install it within a cab complying with the requirements of UIC fiche 651 concerning the layout of cab equipment5.,NOCUOUS
90.0,railway#41,"If the call is a broadcast call, the user shall be informed that he cannot speak as part of the broadcast call.",INNOCUOUS
91.0,railway#42,"Where a change of functional number is required, it shall be possible for the user to initiate the change.",NOCUOUS
92.0,railway#43-1,It shall be possible for the user to find and display stored numbers and their information.,NOCUOUS
93.0,railway#43-2,It shall be possible for the user to find and display stored numbers and their information.,NOCUOUS
94.0,railway#44,The Operational radio is specified to allow its use in the operating environment experienced on the operational railway (eg shunting and maintenance).,INNOCUOUS
95.0,railway#45,Controls shall be designed such that they are suitable for use by people wearing gloves.,INNOCUOUS
96.0,railway#46-1,"It should be possible for the system to prevent certain types of users from registering functional numbers that they are not authorised to use, for example: - train number; - driver of train; - shunting team leader.",NOCUOUS
97.0,railway#46-2,"It should be possible for the system to prevent certain types of users from registering functional numbers that they are not authorised to use, for example: - train number; - driver of train; - shunting team leader.",NOCUOUS
98.0,railway#47,"As a minimum, the location information used by the EIRENE system shall be derived from that available from the network itself (eg current cell or base station serving the mobile).",NOCUOUS
99.0,railway#48,"After the 30 second period, if the connection was unsuccessful, the system shall provide another audible and visual indication that it was unable to connect the call.",INNOCUOUS
100.0,railway#49,"For post-incident analysis, it is important that the origination and reception of Railway emergency calls by mobiles is confirmed by a message sent to a ground-based central location (and also recorded in the on-train recording device).",NOCUOUS
101.0,railway#50,"Throughout the duration of the shunting group call, it shall be possible for any member of the shunting group to speak to all other members of the group, using the PTT function (as described in sections 5.2.2.53, 6.2.2.12 and 7.2.2.20), except during transmission of the link assurance signal.",NOCUOUS
102.0,railway#51,The shunting leader can then choose the moment when he takes or rejects the call.,INNOCUOUS
103.0,railway#52,"In this case, the safety device will alert the driver only if the link assurance signal has failed or if it is cancelled.",INNOCUOUS
104.0,railway#53,"The 300ms represents our current best estimate of the QoS figure, although this will need to be confirmed through user trials.",NOCUOUS
105.0,railway#54,Each authority can decide whether it wishes to use synchronised BTSs.,INNOCUOUS
106.0,railway#55,The network shall terminate the ongoing VGCS/VBS call if it receives the 3-digit sequence “***” transmitted via DTMF signals.,NOCUOUS
107.0,railway#56,"The network shall send the SET-PARAMETER message with the attribute “D-ATT = T”1 [EN 301 515, Index [6]] to the mobile station of the talking subscriber if it receives the 3- digit sequence “###” transmitted via DTMF or the group call SETUP message2 from a controller terminal.",NOCUOUS
108.0,railway#57-1,When the network has detected the 3-digit DTMF sequence “###” transmitted via DTMF from a controller terminal and if the controller was not previously talking it should indicate its recognition by playing a single DTMF grant tone “#” of duration of 100ms  5ms to be sent to that controller terminal only.,NOCUOUS
109.0,railway#57-2,When the network has detected the 3-digit DTMF sequence “###” transmitted via DTMF from a controller terminal and if the controller was not previously talking it should indicate its recognition by playing a single DTMF grant tone “#” of duration of 100ms  5ms to be sent to that controller terminal only.,NOCUOUS
110.0,railway#58,"The network shall send the SET-PARAMETER message with the attribute “D-ATT = F”3 [EN 301 515, Index [6]] to the mobile of the talking subscriber only if it has received the 3-digit sequence “#**” transmitted via DTMF from all the talking controllers4.",NOCUOUS
111.0,railway#59,"Many of the railway specific standards referenced are Pre-standards (eg [prEN 50155, ENV 50121, prEN 50125]) and should be re-examined for their applicability to the EIRENE system if any modifications are made to these standards in the future.",INNOCUOUS
112.0,railway#60,Each of the other cabs on the train will be contacted using its functional number (registered by the other drivers prior to the establishment of the call).,NOCUOUS
113.0,railway#61,"Upon registration, the mobile shall be accessible by calling the MSISDN or the Engine or Coach number with which it is associated.",INNOCUOUS
114.0,railway#62,The Cab radio system shall provide a means for the driver to terminate established calls which he is authorised to terminate.,INNOCUOUS
115.0,home#01,"The DigitalHome programmable Appliance Manager shall provide for management of a home’s small appliances, including lighting units, by allowing a user to turn them on or off as desired.",NOCUOUS
116.0,home#02,"Although the product produced under this document will be a “prototype” version, all modules and components of this prototype version shall be designed and implemented in such a manner that it may be incorporated in a fully specified commercial version of the DigitalHome System.",NOCUOUS
117.0,home#03,The DigitalHome System shall provide users with online documentation about the DigitalHome system installed in their home.,INNOCUOUS
118.0,space#01,"The FCP shall, if the NEFU ICP fails to send its ICP Ready signal, mask out that ICP, but continue to use the NE.16.",INNOCUOUS
119.0,space#02,"Each rate group has some number of tasks associated with it, and it also has a rate for those tasks.",INNOCUOUS
120.0,space#03,The enabled tasks are then unblocked at the rate given in its associated rate group.,NOCUOUS
121.0,space#04-1,An API call is available for the task to call to block itself when it is finished with its cyclic processing.,NOCUOUS
122.0,space#04-2,An API call is available for the task to call to block itself when it is finished with its cyclic processing.,NOCUOUS
123.0,space#04-3,An API call is available for the task to call to block itself when it is finished with its cyclic processing.,NOCUOUS
124.0,space#05,There is up to a full major frame from notification of an impending mode change to acting on it in minor frame 0 of the next major frame plus the time it takes during the next minor frame 0 to switch tasking.,NOCUOUS
125.0,space#06,"The scheduler shall execute cyclic tasks, providing an API call to allow the application to block until its next iteration.",NOCUOUS
126.0,space#07,"The scheduler shall give tasks priority values according to their rate - the higher the rate, the higher the priority.",NOCUOUS
127.0,space#08,The scheduler shall provide a mechanism to inform a task when it did not complete during the previous frame and restart it at the beginning of the task.,NOCUOUS
128.0,space#09,All tasks in rate groups and their corresponding schedules for all vehicle modes will be setup at system initialization.,NOCUOUS
129.0,space#10,Tasks in a rate group must suspend on a scheduler API call at the top of their execution loop.,INNOCUOUS
130.0,space#11,"For hardware exceptions and reserved exceptions, the FTSS shall make the error type and its context data available to the application, then return from the exception handler to the task that was running when the exception occurred.",NOCUOUS
131.0,space#12,Messages are addressed with a global unique communication identifier that routes them to the appropriate virtual group (VG) and socket.,INNOCUOUS
132.0,space#13,This restriction does NOT apply to the ICPs since they are running as simplex VGs.,INNOCUOUS
133.0,space#14,The FTSS shall mask out a babbling NE or ICP within 40 milliseconds after it is detected.,NOCUOUS
134.0,space#15,Synchronous message passing sockets shall queue outgoing messages until they are transmitted at frame boundaries.,NOCUOUS
135.0,space#16,"""Pipes may be opened by multiple receiving tasks if they are created with the broadcast"" capability; otherwise they may only be opened by one receiving task.""",NOCUOUS
136.0,space#17,"""Communication services shall provide the capability to create pipe""s which ""broadcast"" their messages to all virtual groups.""",NOCUOUS
137.0,space#18,"If the broadcast option is used, each virtual group should open the pipe and read from it to avoid flow control problems.",NOCUOUS
138.0,space#19,The application software shall have the capability to reset a permanently failed channel to its initial recovery state.,NOCUOUS
139.0,space#20,Redundancy Management picks up where it left off in these attempts.,INNOCUOUS

